Date,Pred
2024-06-08,-5.571082783814702
2024-06-09,-6.616729394099288
2024-06-10,-6.797946987685611
2024-06-11,-6.591177733080962
2024-06-12,-5.982984771863303
2024-06-13,-6.092632630653506
2024-06-14,-6.281117645664593
2024-06-15,-6.1053635123561705
2024-06-16,-6.636718332683684
2024-06-17,-6.6055136158356635
2024-06-18,-6.024550068184256
2024-06-19,-5.524567945198674
2024-06-20,-6.177613799247687
2024-06-21,-6.149093205058351
2024-06-22,-6.11524025536012
2024-06-23,-6.4717178496385355
2024-06-24,-6.50695199681486
2024-06-25,-5.873980987860916
2024-06-26,-6.488295008592562
2024-06-27,-6.517674867195488
2024-06-28,-6.605589110914463
2024-06-29,-6.494874839386975
2024-06-30,-6.923704121297488
2024-07-01,-6.651340780222267
2024-07-02,-6.647699695840107
2024-07-03,-6.6875404517214
2024-07-04,-6.525375553060279
2024-07-05,-6.12991527076823
2024-07-06,-5.44721339186252
2024-07-07,-6.271421608561525
2024-07-08,-6.16846507824246
2024-07-09,-5.570267592680247
2024-07-10,-6.083010251925397
2024-07-11,-6.279432500127587
2024-07-12,-6.228394377363708
2024-07-13,-6.515511870844133
2024-07-14,-6.620838711558378
2024-07-15,-6.57969988121493
2024-07-16,-6.46073398686427
2024-07-17,-6.323034420558512
2024-07-18,-6.530036630049331
2024-07-19,-6.517007616957203
2024-07-20,-6.552202736233445
2024-07-21,-6.71301914818558
2024-07-22,-6.499094492155622
2024-07-23,-6.571335946299113
2024-07-24,-6.348941034414212
2024-07-25,-6.550026577149602
2024-07-26,-6.269349435725955
2024-07-27,-6.709365807442197
2024-07-28,-6.613924330927903
2024-07-29,-6.926106737272622
2024-07-30,-6.595083641108825
2024-07-31,-6.640636199069935
2024-08-01,-6.517978859831507
2024-08-02,-6.30369092713882
2024-08-03,-6.060752353334998
2024-08-04,-6.200415239210366
2024-08-05,-6.046982019314655
2024-08-06,-4.760710933184502
2024-08-07,-5.727317300177379
2024-08-08,-5.685874881459847
2024-08-09,-5.851238806125002
2024-08-10,-6.095995622324055
2024-08-11,-6.351764441764899
2024-08-12,-6.269569036563237
2024-08-13,-6.069217751012942
2024-08-14,-6.339108817886327
2024-08-15,-6.405828816916319
2024-08-16,-6.422930057443923
2024-08-17,-6.196709545469808
2024-08-18,-6.646353601166405
2024-08-19,-6.595895494238081
2024-08-20,-6.406050589446821
2024-08-21,-6.318945195821838
2024-08-22,-6.289529395539708
2024-08-23,-6.463305648550722
2024-08-24,-6.5040738396877105
2024-08-25,-6.454760008186721
2024-08-26,-6.489884749316523
2024-08-27,-6.407780397740668
2024-08-28,-6.289257374228447
2024-08-29,-6.156746329300601
2024-08-30,-6.436146791961514
2024-08-31,-6.376409234057043
2024-09-01,-6.6901061371493995
2024-09-02,-6.47118851109936
2024-09-03,-6.496777118052756
2024-09-04,-6.613421406293679
2024-09-05,-6.335710867151967
2024-09-06,-6.607136637265793
2024-09-07,-6.243450463131946
2024-09-08,-6.561381092571947
2024-09-09,-6.453588588624037
2024-09-10,-6.467267436851921
2024-09-11,-6.554377654885053
2024-09-12,-6.399815773954451
2024-09-13,-6.62519736659046
2024-09-14,-6.6038953952094595
2024-09-15,-6.776304845242702
2024-09-16,-6.7037737163556645
2024-09-17,-6.551626370074273
2024-09-18,-6.508669720195092
2024-09-19,-6.328167311029256
2024-09-20,-6.60022807313311
2024-09-21,-6.50451275450282
2024-09-22,-6.74209263719404
2024-09-23,-6.557491546204081
2024-09-24,-6.45311622672967
2024-09-25,-6.456698425668357
2024-09-26,-6.440171560312351
2024-09-27,-6.531252835524647
2024-09-28,-6.567029736742203
2024-09-29,-6.690752586273259
2024-09-30,-6.581923505624225
2024-10-01,-6.340360194670193
2024-10-02,-6.039359967567107
2024-10-03,-6.189670342760284
2024-10-04,-6.101697208532224
2024-10-05,-6.338675715426639
2024-10-06,-6.600960135915567
2024-10-07,-6.5969944534888665
2024-10-08,-6.306854151965339
2024-10-09,-6.354705484830696
2024-10-10,-6.41010994253006
2024-10-11,-6.503921243206543
2024-10-12,-6.693108083104542
2024-10-13,-6.818165127063493
2024-10-14,-6.702691031511854
2024-10-15,-6.6470305660840605
2024-10-16,-6.3133389654369285
2024-10-17,-6.5932505209961185
2024-10-18,-6.595245270835898
2024-10-19,-6.744600511501942
2024-10-20,-6.776787572712523
2024-10-21,-6.730522912964001
2024-10-22,-6.567058270997908
2024-10-23,-6.573711958949865
2024-10-24,-6.701609222697153
2024-10-25,-6.759313808812191
2024-10-26,-6.297105685991468
2024-10-27,-6.638498927965525
2024-10-28,-6.8306295110905575
2024-10-29,-6.607117564942211
2024-10-30,-6.654788095021721
2024-10-31,-6.701913067535623
2024-11-01,-6.629409518980799
2024-11-02,-6.555341597456868
2024-11-03,-6.850750802418828
2024-11-04,-6.457500080947424
2024-11-05,-6.46533701308401
2024-11-06,-6.446911639262893
2024-11-07,-6.21124383827511
2024-11-08,-6.4480181116375626
2024-11-09,-6.286765570302149
2024-11-10,-6.406743631369584
2024-11-11,-5.828858008661813
2024-11-12,-5.836698469792623
2024-11-13,-5.393199445837755
2024-11-14,-5.393041524168684
2024-11-15,-5.506820060382145
2024-11-16,-4.71566055679437
2024-11-17,-4.808066921751525
2024-11-18,-5.3773190861058815
2024-11-19,-4.5505086122389855
2024-11-20,-4.750005420552089
2024-11-21,-5.159477062439724
2024-11-22,-5.226009296979948
2024-11-23,-4.895527740245578
2024-11-24,-4.515855825946726
2024-11-25,-4.668175477030124
2024-11-26,-4.93610258940682
2024-11-27,-4.799773662993791
2024-11-28,-4.868575827899365
2024-11-29,-5.133242707457544
2024-11-30,-4.294577893963795
2024-12-01,-4.423713745498745
2024-12-02,-4.386311266205115
2024-12-03,-4.2020294190545115
2024-12-04,-3.952820015263791
2024-12-05,-4.528617108681077
2024-12-06,-4.443506174195972
2024-12-07,-4.7854923716244535
2024-12-08,-4.734121394740625
2024-12-09,-5.157585665160536
2024-12-10,-4.176144752838003
2024-12-11,-4.4430415549608915
2024-12-12,-4.934823013602355
2024-12-13,-5.0310859135384405
2024-12-14,-5.200300771592135
2024-12-15,-5.607413368248368
2024-12-16,-5.453856229398409
2024-12-17,-5.428675220349005
2024-12-18,-5.199795175842208
2024-12-19,-5.041310648230098
2024-12-20,-4.887446635732816
2024-12-21,-4.767057413575204
2024-12-22,-5.032672882296703
2024-12-23,-4.98143352086913
2024-12-24,-4.902581170530851
2024-12-25,-5.1328447960143775
2024-12-26,-5.650972741469238
2024-12-27,-5.6328105224535285
2024-12-28,-5.52399995682753
2024-12-29,-5.890835606744246
2024-12-30,-5.996578077148835
2024-12-31,-5.606756753442714
2025-01-01,-5.5741145448226455
2025-01-02,-5.474432633524578
2025-01-03,-5.564495777210309
2025-01-04,-5.53642625077926
2025-01-05,-5.788872388399199
2025-01-06,-5.818439044585929
2025-01-07,-5.75907226124966
2025-01-08,-5.463281453296771
2025-01-09,-5.366817276870188
2025-01-10,-5.463142476398909
2025-01-11,-5.3044145438667964
2025-01-12,-5.599554316456347
2025-01-13,-5.837575157509823
2025-01-14,-5.249620862335907
2025-01-15,-5.473243002783088
2025-01-16,-4.993885772609629
2025-01-17,-5.033665256432897
2025-01-18,-5.499065029760855
2025-01-19,-5.496805748588841
